city,lat,lon,temp_max,humidity,cloudiness,windspeed,country,date/time
kruisfontein,-34.0033,24.7314,56.32,55,0,5.82,ZA,1619936021
bairnsdale,-37.8333,147.6167,77,42,70,11.01,AU,1619936021
padang,-0.9492,100.3543,86,74,40,5.75,ID,1619936021
nouadhibou,20.931,-17.0347,64.4,82,51,16.11,MR,1619936022
sao filipe,14.8961,-24.4956,71.02,73,7,12.73,CV,1619936022
viljoenskroon,-27.2084,26.9485,49.96,71,0,8.99,ZA,1619936022
tiksi,71.6872,128.8694,29.46,88,100,4.99,RU,1619936023
piacabucu,-10.4056,-36.4344,76.33,84,58,11.43,BR,1619936023
sur,22.5667,59.5289,93.6,34,22,11.74,OM,1619936023
matamoros,25.5333,-103.25,66.99,37,0,1.77,MX,1619936024
kieta,-6.2167,155.6333,82.87,78,100,1.95,PG,1619936024
anna,51.4842,40.4299,55.85,69,100,6.31,RU,1619936025
caravelas,-17.7125,-39.2481,70.25,87,97,4.05,BR,1619936025
yenagoa,4.9247,6.2642,78.08,93,88,2.13,NG,1619936025
elizabeth city,36.2946,-76.2511,59,67,1,11.5,US,1619936026
san luis rio colorado,32.4631,-114.7767,82.4,6,1,2.39,MX,1619936026
simao,22.7886,100.9748,84.87,37,16,4.85,CN,1619936026
tuatapere,-46.1333,167.6833,55.99,89,23,11.01,NZ,1619936027
vila,42.0304,-8.1588,37.99,92,0,1.99,PT,1619936027
geraldton,-28.7667,114.6,75.2,31,0,20.71,AU,1619936028
olga,43.7444,135.2892,54.63,48,62,3.56,RU,1619936028
aksu,41.1231,80.2644,77.99,14,100,15.95,CN,1619936028
laguna,38.421,-121.4238,60.01,72,1,4.61,US,1619936029
bandarbeyla,9.4942,50.8122,86.54,65,96,8.39,SO,1619936029
cabedelo,-6.9811,-34.8339,71.6,100,0,3.44,BR,1619936030
mlyniv,50.509,25.6168,57.2,94,0,8.95,UA,1619936030
magadan,59.5667,150.8,36.55,67,88,2.51,RU,1619936030
ngaoundere,7.3167,13.5833,68.65,77,100,3.15,CM,1619936031
klaksvik,62.2266,-6.589,35.6,80,40,2.3,FO,1619936031
primorsk,46.7348,36.3443,58.46,75,82,10.83,UA,1619936032
constitucion,-35.3333,-72.4167,54.7,96,100,3.51,CL,1619936032
tshikapa,-6.4167,20.8,72.09,89,100,3.02,CD,1619936032
mount pleasant,32.7941,-79.8626,68,94,50,8.63,US,1619936032
lagoa,39.05,-27.9833,60.33,94,100,11.7,PT,1619936033
srandakan,-7.9386,110.2506,86.58,65,31,10.22,ID,1619936033
kyshtovka,56.555,76.6271,57.47,34,56,18.23,RU,1619936034
shimoda,34.6667,138.95,64.4,55,20,24.16,JP,1619936034
avera,33.194,-82.5271,60.8,88,1,6.11,US,1619936034
shakawe,-18.3667,21.85,62.92,40,48,8.21,BW,1619936035
ormara,25.2088,64.6357,84.38,63,7,11.5,PK,1619936035
masingbi,8.7833,-11.95,74.68,95,48,0.63,SL,1619936036
caborca,30.5838,-111.101,72.3,20,96,6.87,MX,1619936036
colares,38.7992,-9.4469,54,87,20,11.41,PT,1619936037
chardara,41.2547,67.9692,74.46,49,0,1.63,KZ,1619936037
ixtapa,20.7,-105.2,65.52,57,0,2.93,MX,1619936037
khandbari,27.3747,87.2039,75.74,50,99,5.57,NP,1619936038
faanui,-16.4833,-151.75,80.82,68,31,4.83,PF,1619936038
yulara,-25.2406,130.9889,87.8,14,65,8.05,AU,1619936039
kirksville,40.1948,-92.5833,66.2,77,1,9.22,US,1619936039
bicas,-21.7253,-43.0594,66.99,81,100,0.78,BR,1619936039
lenggries,47.6833,11.5667,39,93,100,4,DE,1619936039
codrington,-38.2667,141.9667,69.13,51,53,8.97,AU,1619936040
terrace,54.5163,-128.6035,44.6,81,75,4.61,CA,1619936040
correntina,-13.3433,-44.6367,67.3,77,100,5.77,BR,1619936040
paraisopolis,-22.5542,-45.78,55,84,100,1.83,BR,1619936041
georgetown,5.4112,100.3354,91.4,79,20,9.22,MY,1619936041
leningradskiy,69.3833,178.4167,17.74,94,100,17.52,RU,1619936041
mountain home,43.133,-115.6912,50,81,1,11.5,US,1619936042
vila velha,-20.3297,-40.2925,73.99,100,75,5.75,BR,1619936042
riyadh,24.6877,46.7219,91.4,11,0,11.5,SA,1619936042
susangerd,31.5608,48.1831,91.4,29,36,4.61,IR,1619936042
merauke,-8.4667,140.3333,84.02,69,92,11.34,ID,1619936043
margate,51.3813,1.3862,45,75,12,4,GB,1619936043
iskateley,67.6803,53.1512,28.44,92,100,25.79,RU,1619936044
yanam,16.7333,82.2167,93.2,55,20,9.22,IN,1619936044
souillac,-20.5167,57.5167,80.6,83,40,3.44,MU,1619936044
turan,16.0678,108.2208,89.6,62,20,12.66,VN,1619936045
bonthe,7.5264,-12.505,79.65,84,62,5.46,SL,1619936045
hasaki,35.7333,140.8333,64,63,75,8.05,JP,1619936045
la palma,33.8464,-118.0467,61,82,90,8.05,US,1619936046
vega de alatorre,20.0333,-96.6333,78.04,86,92,14.74,MX,1619936046
tomatlan,19.9333,-105.25,65.61,68,0,2.57,MX,1619936046
hovd,48.0056,91.6419,39.27,40,69,25.17,MN,1619936047
kendal,54.3268,-2.7476,39,90,12,1.23,GB,1619936047
san jeronimo,-11.9472,-75.2829,42.98,86,19,1.34,PE,1619936047
brae,60.3964,-1.353,41,81,20,1.14,GB,1619936048
westport,41.1415,-73.3579,54,76,90,3.44,US,1619936048
burgos,42.3394,-3.7079,37.4,93,75,9.22,ES,1619936048
maldonado,-34.6667,-54.9167,63,94,0,3.44,UY,1619936049
yar-sale,66.8333,70.8333,32.63,99,100,15.93,RU,1619936049
antofagasta,-23.65,-70.4,57.2,94,40,2.3,CL,1619936049
nacala,-14.5428,40.6728,76.8,92,50,8.21,MZ,1619936050
saint george,37.1041,-113.5841,73.99,13,1,10.36,US,1619936050
salinopolis,-0.6136,-47.3561,74.26,94,94,7.54,BR,1619936050
santa cruz,-17.8,-63.1667,64.4,94,8,3.44,BO,1619936051
athabasca,54.7169,-113.2854,41,87,60,2.3,CA,1619936051
canico,32.6333,-16.85,60.8,67,40,4.61,PT,1619936051
serov,59.6033,60.5787,48.15,48,93,10.27,RU,1619936052
bowen,-20.0167,148.2333,78.8,65,37,14.97,AU,1619936052
impfondo,1.6381,18.0667,74.8,83,87,3,CG,1619936053
aykino,62.2248,49.9922,36.86,43,25,13.53,RU,1619936053
kailua,21.4022,-157.7394,77,78,90,14.97,US,1619936053
belmonte,-15.8631,-38.8828,68,88,40,9.22,BR,1619936054
praia,14.9215,-23.5087,69.8,73,20,16.11,CV,1619936054
arman,59.7,150.1667,37.49,80,97,3.58,RU,1619936055
lagunillas,10.1301,-71.2595,77.45,86,100,3.91,VE,1619936055
hecun,36.5333,114.1111,69.75,14,100,11.88,CN,1619936056
adrar,20.5022,-10.0711,75.49,31,19,8.68,MR,1619936056
sistranda,63.7256,8.834,35.6,87,40,1.14,NO,1619936057
ordu,40.9086,37.6845,57.2,100,0,5.75,TR,1619936057
la ronge,55.1001,-105.2842,37.4,87,89,3.44,CA,1619936057
marsala,37.7966,12.4352,60.8,94,40,4.61,IT,1619936058
boguchany,58.3814,97.4531,45.99,64,68,12.88,RU,1619936058
wagga wagga,-35.1167,147.3667,73.4,43,40,3.44,AU,1619936058
morehead,37.2711,-87.1764,60.01,88,1,7,US,1619936059
honningsvag,70.9821,25.9704,32.97,61,100,14.83,NO,1619936059
newton stewart,54.9578,-4.4832,37.4,93,20,5.75,GB,1619936060
prado,-17.3411,-39.2208,67.91,91,89,4.59,BR,1619936060
farafangana,-22.8167,47.8333,75.38,85,57,2.21,MG,1619936060
trinidad,-14.8333,-64.9,68.58,93,37,2.8,BO,1619936061
irbit,57.6705,63.071,52.43,76,100,14.58,RU,1619936061
saint-augustin,51.226,-58.6502,35.06,95,100,10.49,CA,1619936061
vardo,70.3705,31.1107,32.72,60,99,13.42,NO,1619936062
kokopo,-4.352,152.2633,82.08,79,53,2.08,PG,1619936062
longyearbyen,78.2186,15.6401,19.4,68,20,13.8,SJ,1619936062
pisco,-13.7,-76.2167,64.4,82,11,2.3,PE,1619936063
dicabisagan,17.0818,122.4157,86.2,60,10,8.03,PH,1619936063
san patricio,28.017,-97.5169,66.99,100,75,3.44,US,1619936064
burnie,-41.0667,145.9167,61,87,99,3,AU,1619936064
palu,-0.8917,119.8707,85.53,78,86,3.22,ID,1619936064
yurino,56.2942,46.3039,48.2,46,0,6.71,RU,1619936065
santa maria,-29.6842,-53.8069,58.6,76,10,3.58,BR,1619936065
kloulklubed,7.0419,134.2556,77,94,90,5.75,PW,1619936065
tuy hoa,13.0833,109.3,88.83,58,82,10.29,VN,1619936066
alofi,-19.0595,-169.9187,75.2,100,37,14.97,NU,1619936066
walvis bay,-22.9575,14.5053,64,51,32,6.91,NA,1619936066
gogrial,8.5332,28.1004,83.89,52,100,3.27,SS,1619936067
palivere,58.9664,23.8911,43,65,0,9.22,EE,1619936067
wajir,1.7471,40.0573,80.6,74,75,9.22,KE,1619936068
soma,39.1855,27.6094,69.8,82,0,4.16,TR,1619936068
kerema,-7.9631,145.7785,82.85,73,70,9.22,PG,1619936069
sola,-13.8833,167.55,78.8,94,90,4.36,VU,1619936069
don sak,9.3168,99.6918,91.99,66,40,5.75,TH,1619936069
vostok,46.4856,135.8833,42.85,57,100,13.76,RU,1619936070
ixtlahuacan del rio,20.8667,-103.25,64.99,36,1,3.49,MX,1619936070
meulaboh,4.1363,96.1285,86.45,65,95,5.82,ID,1619936071
kavos,38.8268,22.8322,62.6,100,0,1.9,GR,1619936071
valdez,1.2492,-78.9831,73.89,93,100,6.31,EC,1619936071
almaznyy,48.0448,40.045,57.2,94,40,2.24,RU,1619936072
mehamn,71.0357,27.8492,31.87,65,100,10.87,NO,1619936072
gornopravdinsk,60.05,69.9,48.58,81,100,11.21,RU,1619936072
norman wells,65.282,-126.8329,30.2,69,40,2.17,CA,1619936073
port hardy,50.6996,-127.4199,46.4,87,20,5.75,CA,1619936073
todos santos,23.45,-110.2167,66.99,79,4,4,MX,1619936074
lazaro cardenas,17.9583,-102.2,76.91,71,88,5.7,MX,1619936074
manyana,-23.4,21.7167,53.55,36,0,7.47,BW,1619936074
gazanjyk,39.2446,55.5154,75.29,27,90,12.62,TM,1619936075
kochubey,44.3861,46.5825,68.05,56,64,1.66,RU,1619936075
tetouan,35.5711,-5.3724,51.8,82,0,6.91,MA,1619936075
half moon bay,37.4636,-122.4286,53.6,87,40,24.16,US,1619936076
nemuro,43.3236,145.575,41,65,75,6.91,JP,1619936076
oga,46.4631,10.347,53.01,100,75,5.75,IT,1619936077
asfi,32.2994,-9.2372,57.18,73,2,14.16,MA,1619936077
point pedro,9.8167,80.2333,87.12,64,70,6.22,LK,1619936077
nguru,12.8791,10.4526,81.97,7,76,7.87,NG,1619936078
victoria,22.2855,114.1577,84,75,96,8.25,HK,1619936078
saryg-sep,51.5,95.6,45.75,53,100,10.8,RU,1619936078
milkovo,54.7167,158.6167,40.3,82,100,2.68,RU,1619936079
saldanha,-33.0117,17.9442,55.4,62,0,6.96,ZA,1619936079
mendi,-6.1761,143.6513,62.42,92,82,2.77,PG,1619936079
luganville,-15.5333,167.1667,78.94,80,64,8.9,VU,1619936080
yerofey pavlovich,53.9667,121.9667,56.66,37,98,5.28,RU,1619936080
guerrero negro,27.9769,-114.0611,59.68,89,74,13.29,MX,1619936080
yeppoon,-23.1333,150.7333,77,57,90,13.8,AU,1619936081
multan,30.1956,71.4753,98.6,25,20,4.61,PK,1619936081
hualmay,-11.0964,-77.6139,66.72,88,37,7.96,PE,1619936082
kindia,10.0569,-12.8658,70.61,90,89,3.09,GN,1619936082
cayenne,4.9333,-52.3333,75.2,94,77,3.44,GF,1619936082
ust-maya,60.4167,134.5333,49.06,57,75,8.1,RU,1619936083
muros,42.7762,-9.0603,37,94,4,5.57,ES,1619936083
puerto montt,-41.4698,-72.9447,48.2,100,75,3.44,CL,1619936084
arlit,18.7369,7.3853,83.17,5,0,8.52,NE,1619936084
neiafu,-18.65,-173.9833,78.8,83,75,6.91,TO,1619936084
barkhan,29.8977,69.5256,86.38,22,68,10.83,PK,1619936085
vikramasingapuram,8.714,77.3893,91.4,66,20,5.75,IN,1619936085
mackay,-21.15,149.2,77,69,75,17.27,AU,1619936085
auki,-8.7676,160.7034,80.73,81,83,0.63,SB,1619936086
puerto vallarta,20.6204,-105.2307,66.43,54,0,3.09,MX,1619936086
tanabe,33.7333,135.3667,59,55,75,16.11,JP,1619936086
praia da vitoria,38.7333,-27.0667,62.6,94,75,7.58,PT,1619936087
menongue,-14.6585,17.691,63.01,89,100,3.62,AO,1619936087
lungi,9.2212,-12.6831,76.01,87,69,4.85,SL,1619936088
namibe,-15.1961,12.1522,76.78,78,37,1.48,AO,1619936088
